ID,title,description,ticker,type_code,price,currency_code,yield
100500101,Bitcoin-EUR,Bitcoin-EUR,BTCEUR.TO,Currency,92149.5415,EUR,0
100500106,iShares Core Dividend Growth ETF,iShares Core Dividend Growth ETF,DGRO,ETF,64.94,USD,0.0222
