ID,title,description,ticker,type,price,currency,yield
3583f982-d7df-4aad-ab26-301d4a157cd1,Bitcoin-EUR,Bitcoin-EUR,BTCEUR.TO,Currency,92149.5415,EUR,0
3583f982-d7df-4aad-ab26-301d4a157cd2,iShares Core Dividend Growth ETF,iShares Core Dividend Growth ETF,DGRO,ETF,64.94,USD,0.0222
